,track_name,album,track_id,artist,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,A las Cosas por Su Nombre,Vivir para Contarlo,0avEVorPMJyPPolMbeonBB,Violadores Del Verso,259920,46,0.885,0.877,2,-5.269,1,0.171,0.214,1.44e-06,0.116,0.89,91.985
1,Good News,Good News,3ClBKQkKoaUQ6UOhe2xlJK,Mac Miller,342040,55,0.794,0.32,1,-12.92,0,0.173,0.853,0.134,0.112,0.241,174.088
2,"Dani Ribba: Bzrp Freestyle Sessions, Vol. 7","Dani Ribba: Bzrp Freestyle Sessions, Vol. 7",1jKq6jcjPAd2awwuYiPswp,Bizarrap,137365,54,0.924,0.622,0,-6.824,1,0.233,0.0995,0.0,0.0971,0.74,130.063
3,En tu agujero,Besos de Perro,2ncjn6hRXJvtWWKlmUuNmw,Marea,304399,50,0.561,0.861,5,-4.791,1,0.0672,0.212,0.0088,0.0841,0.346,92.894
4,Como el Sol 2011,Kase.O Jazz Magnetism,3NkIrWA31m4VO4Z9BW61yo,Kase.O,283840,51,0.812,0.579,2,-8.124,1,0.187,0.176,0.0,0.219,0.737,93.004
5,Solsticio de Invierno,Solsticio de Invierno,2W2NpGW58cqI1n8rNEEamO,TribuTrip,103578,0,0.719,0.602,9,-13.107,1,0.0839,0.554,0.0,0.115,0.663,95.02
6,Tarde,Tarde,1E1y2OMo7uCdDR8CyctL9B,Luisaker,225885,0,0.837,0.659,4,-8.202,0,0.141,0.55,0.0,0.107,0.966,135.832
7,High Today (feat. Logic),The Saga of Wiz Khalifa,6TkwBmyNs21ihKTi8Bp0eo,Wiz Khalifa,199970,57,0.775,0.629,8,-5.315,1,0.0669,0.269,0.0,0.111,0.278,112.835
8,Si Tú Supieras,Hueso y Carne,7gJcw2AISLuYda00yodaoF,Iratxo,294626,8,0.433,0.579,2,-4.333,0,0.0901,0.857,4.35e-06,0.102,0.452,80.021
9,Ladders,Swimming,39NDBdU5Xkm5pCFGa5kZtI,Mac Miller,287040,71,0.802,0.463,8,-8.379,1,0.162,0.236,0.00531,0.105,0.291,103.961
10,Vive,Vive,765oF6lDaO3PONcaPdmpHd,Luisaker,194429,0,0.685,0.737,6,-7.08,0,0.227,0.186,0.0,0.0705,0.461,184.076
11,"Dani Ribba: Bzrp Music Sessions, Vol. 24","Dani Ribba: Bzrp Music Sessions, Vol. 24",6TNuRFdNazLbbVQTRE8pZg,Bizarrap,173251,46,0.913,0.689,11,-7.74,1,0.349,0.287,0.0,0.104,0.851,129.889
12,Con mi voz,Buenos dias,0jPod8hBi7nspUTs2mmWos,Mäbu,185533,36,0.752,0.627,1,-4.997,0,0.042,0.39,0.00334,0.127,0.938,129.848
