,artist,album,track,uri,UniqueID,track_uri
0,Luisaker,Nítido,Nítido,spotify:track:5gEcJjcrveT2gRuyPyPeDt,Luisaker:Nítido,5gEcJjcrveT2gRuyPyPeDt
1,Iseo & Dodosound,Roots in the Air,Roots in the Air,spotify:track:3ypOHGkuksfe3hZ1C1BgC0,Iseo & Dodosound:Roots in the Air,3ypOHGkuksfe3hZ1C1BgC0
2,AG Club,Fuck Your Expectations PT. 2,"Memphis, Pt. 2 (feat. NLE Choppa and A$AP Ferg)",spotify:track:3z1z5Hnt9IgHjl4KsHFmem,"AG Club:Memphis, Pt. 2 (feat. NLE Choppa and A$AP Ferg)",3z1z5Hnt9IgHjl4KsHFmem
3,SZA,I Hate U,I Hate U,spotify:track:5dXWFMwD7I7zXsInONVl0H,SZA:I Hate U,5dXWFMwD7I7zXsInONVl0H
4,El Último Ke Zierre,Vivos... Por Domesticar!,Tus Bragas,spotify:track:1CuGw5qa90jzxVleUHZGbw,El Último Ke Zierre:Tus Bragas,1CuGw5qa90jzxVleUHZGbw
5,Leiva,Diciembre,Todo Lo Que Tu Quieras,spotify:track:6lGceeG8nl1PgitEOG3cWv,Leiva:Todo Lo Que Tu Quieras,6lGceeG8nl1PgitEOG3cWv
6,L.A.,Heavenly Hell,Perfect Combination,spotify:track:6IJ124nDVkI6jK9CRCE3vj,L.A.:Perfect Combination,6IJ124nDVkI6jK9CRCE3vj
7,Wiz Khalifa,Rolling Papers 2,Blue Hunnids (feat. Jimmy Wopo and Hardo),spotify:track:073wIn7FqixdyJU4cqh41j,Wiz Khalifa:Blue Hunnids (feat. Jimmy Wopo and Hardo),073wIn7FqixdyJU4cqh41j
8,Tom Odell,Long Way Down (Deluxe),Another Love,spotify:track:3JvKfv6T31zO0ini8iNItO,Tom Odell:Another Love,3JvKfv6T31zO0ini8iNItO
9,George Ezra,Cassy O' (EP),Budapest - Live from Spotify Stockholm,spotify:track:4HqU80xAozomP0XtgxAu6w,George Ezra:Budapest - Live from Spotify Stockholm,4HqU80xAozomP0XtgxAu6w
10,Juanito Makandé,Muerte a los pájaros negros,Eres para mí,spotify:track:0botJKWVhNlLphp0D2oFJk,Juanito Makandé:Eres para mí,0botJKWVhNlLphp0D2oFJk
11,Leiva,Monstruos,Palermo No Es Hollywood,spotify:track:2dLZGRlLPzM7dqtMP4QreL,Leiva:Palermo No Es Hollywood,2dLZGRlLPzM7dqtMP4QreL
12,Locus,Gracias por No Ser Como el Resto,Gracias por No Ser Como el Resto,spotify:track:6D139Cw9Tkesr4b2MNHlpR,Locus:Gracias por No Ser Como el Resto,6D139Cw9Tkesr4b2MNHlpR
13,Zaz,Zaz,Les passants,spotify:track:6x53YxdtkR2rGLptZCLgUx,Zaz:Les passants,6x53YxdtkR2rGLptZCLgUx
14,Don Patricio,La Dura Vida del Joven Rapero,Contando Lunares (feat. Cruz Cafuné),spotify:track:6Cs7b9bu3fy5XhMwBA9Tz4,Don Patricio:Contando Lunares (feat. Cruz Cafuné),6Cs7b9bu3fy5XhMwBA9Tz4
15,Kase.O,El Círculo (Versión Exclusiva de Spotify),Yemen,spotify:track:3OC3AO2zGgcyM7pAFO47YZ,Kase.O:Yemen,3OC3AO2zGgcyM7pAFO47YZ
16,Swae Lee,Sextasy,Sextasy,spotify:track:5jlLBqK31dOqXECKn3jlMX,Swae Lee:Sextasy,5jlLBqK31dOqXECKn3jlMX
17,Pink Martini,Sympathique,Sympathique,spotify:track:4YgSlaIvdQfu8JU78x7MaZ,Pink Martini:Sympathique,4YgSlaIvdQfu8JU78x7MaZ
18,Kase.O,El Círculo (Versión Exclusiva de Spotify),No Se Qué Voy a Hacer (Booty Song),spotify:track:5XvZMnB5YuYvUYnEpYfT3H,Kase.O:No Se Qué Voy a Hacer (Booty Song),5XvZMnB5YuYvUYnEpYfT3H
19,Twenty One Pilots,Blurryface,Stressed Out,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots:Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn
20,Leiva,Sixteen (with Fito Cabrales & Carlos Tarque),Sixteen (with Fito Cabrales & Carlos Tarque),spotify:track:3T58r6fVBwImP4XBYNkEyB,Leiva:Sixteen (with Fito Cabrales & Carlos Tarque),3T58r6fVBwImP4XBYNkEyB
21,Walls,Luna de Miel (feat. Robledo),Luna de Miel (feat. Robledo),spotify:track:4xJYCRuw8dRIYeb7yFQPnW,Walls:Luna de Miel (feat. Robledo),4xJYCRuw8dRIYeb7yFQPnW
22,Q,Forest Green,I Might Slip Away if I Don't Feel Nothing,spotify:track:29kixq8kxaIuxN0TAZomaU,Q:I Might Slip Away if I Don't Feel Nothing,29kixq8kxaIuxN0TAZomaU
23,Bob Marley & The Wailers,Exodus,One Love / People Get Ready - Medley,spotify:track:2HcyIzVsX45jLIxK7SH2aI,Bob Marley & The Wailers:One Love / People Get Ready - Medley,2HcyIzVsX45jLIxK7SH2aI
24,Aminé,Good For You,Spice Girl,spotify:track:4HW5kSQ8M2IQWZhSxERvla,Aminé:Spice Girl,4HW5kSQ8M2IQWZhSxERvla
25,Leiva,Monstruos,Guerra Mundial,spotify:track:2ut1w3YL0Bd7FeKlnkc3bk,Leiva:Guerra Mundial,2ut1w3YL0Bd7FeKlnkc3bk
26,Foyone,El villancico de los pobres / Blanca Navidad,El villancico de los pobres / Blanca Navidad,spotify:track:1lcvyue2bnQ5MAKxMuHC4P,Foyone:El villancico de los pobres / Blanca Navidad,1lcvyue2bnQ5MAKxMuHC4P
27,IZAL,Autoterapia,Canción para Nadie,spotify:track:5oQ6Q9fsgUpjS2Rth3Bkwg,IZAL:Canción para Nadie,5oQ6Q9fsgUpjS2Rth3Bkwg
28,Txarango,Benvinguts al Llarg Viatge,Quan Tot s'enlaira,spotify:track:7cFSVDWmoFTOiR5QiW6kny,Txarango:Quan Tot s'enlaira,7cFSVDWmoFTOiR5QiW6kny
29,Rels B,Flakk Daniel's Lp,Buenos Genes,spotify:track:76NtMPMpA6fuUH4euMYZoD,Rels B:Buenos Genes,76NtMPMpA6fuUH4euMYZoD
30,Luisaker,Quédate,Quédate,spotify:track:2q3pG1FiSmLqVM3DJkLaGJ,Luisaker:Quédate,2q3pG1FiSmLqVM3DJkLaGJ
31,Kase.O,Kase.O Jazz Magnetism,Trabajos Manuales A.K.A. Geto Boys,spotify:track:4JxP7kbYyW3Scx4UMPWJCE,Kase.O:Trabajos Manuales A.K.A. Geto Boys,4JxP7kbYyW3Scx4UMPWJCE
32,The Kooks,Inside In / Inside Out,Seaside,spotify:track:6ZygaqgtPkiahkiYJhYWhn,The Kooks:Seaside,6ZygaqgtPkiahkiYJhYWhn
33,Bill Haley & His Comets,Rock Around The Clock,(We're Gonna) Rock Around The Clock,spotify:track:1uRKT2LRANv4baowBWHfDS,Bill Haley & His Comets:(We're Gonna) Rock Around The Clock,1uRKT2LRANv4baowBWHfDS
34,Passenger,All The Little Lights,Let Her Go,spotify:track:7DFNE7NO0raLIUbgzY2rzm,Passenger:Let Her Go,7DFNE7NO0raLIUbgzY2rzm
35,Rooftime,It's All About,It's All About,spotify:track:0XO3RZYuYKsz0cORoVlQOB,Rooftime:It's All About,0XO3RZYuYKsz0cORoVlQOB
36,Kutxi Romero,No soy de nadie,Nicotina y alquitrán,spotify:track:4pOuatjFJHwq8HJ0R0aA6b,Kutxi Romero:Nicotina y alquitrán,4pOuatjFJHwq8HJ0R0aA6b
37,ZOO,Tempestes Vénen del Sud,Hivern,spotify:track:49MSJ1QJWDvw5aCBcwlnRE,ZOO:Hivern,49MSJ1QJWDvw5aCBcwlnRE
38,Ayax y Prok,Cara y cruz,Bañador y chancletas,spotify:track:6RWIqZKpXQDXjlZqRbDHlE,Ayax y Prok:Bañador y chancletas,6RWIqZKpXQDXjlZqRbDHlE
39,Fyahbwoy,Di Di Di [Fuera de Servicio],Di Di Di [Fuera de Servicio],spotify:track:7h2chdLkk3BOi20TtuiiWA,Fyahbwoy:Di Di Di [Fuera de Servicio],7h2chdLkk3BOi20TtuiiWA
40,Ayax y Prok,Roxanne,Roxanne,spotify:track:3XkWjPtf0LBGPh3vht0PjV,Ayax y Prok:Roxanne,3XkWjPtf0LBGPh3vht0PjV
41,Green Valley,En Tus Manos (Reedition),Relaja,spotify:track:3ErQ6SVhI5JEYxLjY0GLl2,Green Valley:Relaja,3ErQ6SVhI5JEYxLjY0GLl2
42,La Fuga,Mira,"Ni contigo, ni sin ti",spotify:track:4d5e9QmRMkAvQ8DKWCEuYH,"La Fuga:Ni contigo, ni sin ti",4d5e9QmRMkAvQ8DKWCEuYH
43,Fyahbwoy,Innadiflames,Intro,spotify:track:5xWeELmEoUAM2sMI3VvYfy,Fyahbwoy:Intro,5xWeELmEoUAM2sMI3VvYfy
44,Lágrimas De Sangre,Vértigo,Dime por Qué,spotify:track:7hS4XWY0ubqOioMnTdYpaH,Lágrimas De Sangre:Dime por Qué,7hS4XWY0ubqOioMnTdYpaH
45,Fyahbwoy,Bl4qkfy4h,Hablando de Weed,spotify:track:55PYMtGwn8tqMFfmvZEL2E,Fyahbwoy:Hablando de Weed,55PYMtGwn8tqMFfmvZEL2E
46,Lágrimas De Sangre,Si Alguna Vez Nos Fuimos,Si Alguna Vez Nos Fuimos,spotify:track:14ZwC6hUcRgOhsPWYIRAec,Lágrimas De Sangre:Si Alguna Vez Nos Fuimos,14ZwC6hUcRgOhsPWYIRAec
47,Sidecars,Contra las cuerdas,Chavales de instituto - Acústico,spotify:track:2muRwbt17pYMw18uyTtx36,Sidecars:Chavales de instituto - Acústico,2muRwbt17pYMw18uyTtx36
48,OneRepublic,Native,Counting Stars,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic:Counting Stars,2tpWsVSb9UEmDRxAl1zhX1
49,Extremoduro,"Yo, Minoría Absoluta",La vereda de la puerta de atrás,spotify:track:4kJP8Z888wREJ8bRMWNMuk,Extremoduro:La vereda de la puerta de atrás,4kJP8Z888wREJ8bRMWNMuk
50,Kemalio,Adam Lallana,Adam Lallana,spotify:track:6My4eAH9nneZrFxJdGDwuY,Kemalio:Adam Lallana,6My4eAH9nneZrFxJdGDwuY
51,Gabrielle Aplin,Home,Home,spotify:track:3X01VeoR0GckfiXlFRrJmF,Gabrielle Aplin:Home,3X01VeoR0GckfiXlFRrJmF
52,Supersubmarina,Electroviral,Magia Electroviral,spotify:track:0MY5Nr265JNQP5rIFKpUhC,Supersubmarina:Magia Electroviral,0MY5Nr265JNQP5rIFKpUhC
53,Fyahbwoy,Extremely Flammable,Spanish Revolution,spotify:track:5wIt2gutn1ztAptFul50ic,Fyahbwoy:Spanish Revolution,5wIt2gutn1ztAptFul50ic
54,Bejo,Chachichacho,Fyah Fyah,spotify:track:4ptx37L95KsPwAbhpw8DN5,Bejo:Fyah Fyah,4ptx37L95KsPwAbhpw8DN5
55,Kulto Kultibo,La Mazeta,Disasters,spotify:track:26vUrzxwKJ84IgzefUKYif,Kulto Kultibo:Disasters,26vUrzxwKJ84IgzefUKYif
56,Desakato,Con el Viento de Cara,Ritcher 7.5,spotify:track:12pZah8Xe3jJ7PdPjiq3CQ,Desakato:Ritcher 7.5,12pZah8Xe3jJ7PdPjiq3CQ
