,track_name,album,track_id,artist,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,El Gordo Que la Pisa Bien,Divertimentos (Vol.1),3geFUUwPEbPsT6Tbj0lRb8,Kase.O,282843,49,0.78,0.803,11,-4.472,0,0.368,0.0584,0.0,0.336,0.737,82.267
1,Tiranosaurius Rex,Divertimentos (Vol.1),6fKCqK8OB2MVnYCHD9moHj,Kase.O,184322,53,0.842,0.757,5,-6.339,0,0.281,0.06,0.0,0.0628,0.578,111.938
2,Ringui Dingui (con SFDK),Divertimentos (Vol.2),7zrmKJCfEHluOWJy8LFnTs,Kase.O,205275,56,0.877,0.792,7,-5.866,1,0.0888,0.287,0.0,0.0804,0.899,119.933
3,Tranquilísimo,Tranquilísimo,3znlxKwQTRVrrerCcZPus2,Israel B,143179,33,0.828,0.714,10,-6.852,0,0.108,0.185,3.15e-06,0.244,0.407,95.967
4,En Bajo Perfil,Moonlight922,1f53Xa0KL3Fw1gEnuHnprI,Cruz Cafuné,253311,46,0.501,0.461,11,-10.381,0,0.337,0.228,0.0,0.153,0.257,95.278
5,Alitas de mar (feat. Juanito Makandé),Crema,7ikoui4eGrHzzcOEaXtdZQ,Tu Otra Bonita,194050,51,0.653,0.605,7,-6.371,1,0.0368,0.581,0.0,0.101,0.531,157.838
6,El Síndrome Anuel,El Síndrome Anuel,6Io9NpbpcUli1GihajZTUy,Foyone,365217,20,0.801,0.933,11,-6.335,0,0.408,0.214,0.0,0.282,0.393,92.141
7,CAMBIA!,El Madrileño,5cNJO43VKHxD0XGbkhboZu,C. Tangana,188093,66,0.557,0.687,2,-4.721,1,0.0814,0.551,5.28e-05,0.0975,0.638,105.508
8,Este Verano,☉cáncer ↑capricornio ☾virgo,5570VMVvXhONghMCBbzZZE,Cruz Cafuné,175800,46,0.736,0.557,1,-9.36,1,0.104,0.112,0.0966,0.0969,0.475,85.998
9,Alegría de Vivir,Alegría de Vivir,4sJtmGdpGZKr8XMfiyJj3E,Tu Otra Bonita,204090,57,0.76,0.527,9,-7.946,0,0.0579,0.552,4.32e-06,0.1,0.7,132.096
10,La Placita,La Placita,74OHxW9pnL556uodW2m6SQ,Delaossa,228292,0,0.563,0.534,4,-8.055,0,0.342,0.774,0.0,0.13,0.659,81.737
11,Hong Kong,El Madrileño,4kD4ZzJ1rZIVfJ9qw85CVT,C. Tangana,203506,59,0.649,0.376,4,-7.528,1,0.039,0.0626,2.72e-05,0.0911,0.434,97.848
12,Foxy Eyes,☉cáncer ↑capricornio ☾virgo,6N6q3sjuenff6vQpalPHuH,Cruz Cafuné,259518,43,0.751,0.287,9,-13.868,1,0.188,0.143,0.000983,0.0804,0.349,135.958
13,Cuando te empecé a querer,Muerte a los pájaros negros,4moRbcZVVx9MlMpfNFD3Pl,Juanito Makandé,225401,0,0.689,0.651,6,-8.769,0,0.0439,0.448,2.27e-06,0.331,0.792,99.956
14,Zoo Funk,Funk Experience,1m57M3GAKCBkiyzXsrizeo,R De Rumba,247682,34,0.848,0.832,0,-4.352,1,0.192,0.287,0.0,0.239,0.832,101.984
15,Muriendo De Envidia,El Madrileño,740uwCK09xVPNPr4hFpcWW,C. Tangana,182640,61,0.845,0.717,0,-6.773,1,0.359,0.428,0.0023,0.0822,0.255,93.997
16,Mina el Hammani,Moonlight922,09Ae1id448lmrfETbExaRc,Cruz Cafuné,197033,51,0.851,0.476,11,-10.8,0,0.288,0.162,1.05e-05,0.168,0.223,124.992
17,ENEMIGOS INVISIBLES,Tripi Hapa,1T8137xobJzWoGYd8ecYtu,Bejo,146823,0,0.518,0.73,11,-3.666,1,0.0996,0.00885,0.0,0.11,0.801,169.483
18,5 de la Tarde,5 de la Tarde,3mlvmh76YzIOkUhmJlQodB,Cheti,217636,42,0.604,0.411,1,-15.157,1,0.0993,0.664,3.83e-05,0.0357,0.537,108.136
19,Los Tontos,El Madrileño,4DoEHKWh8k6vYDleECQkJx,C. Tangana,192786,64,0.798,0.715,9,-5.712,0,0.187,0.365,2.08e-06,0.142,0.895,105.995
20,Nmout 3lik,☉cáncer ↑capricornio ☾virgo,05ZKGe9Di06EQvEYkLJnbk,Cruz Cafuné,172058,52,0.79,0.529,7,-9.391,1,0.153,0.157,0.332,0.435,0.555,129.029
21,Maan!,28 Grams (Trap Wiz),5v6baPGiSF9PJ3YpNtbIzT,Wiz Khalifa,249652,36,0.775,0.778,10,-5.166,1,0.0879,0.274,0.0,0.0629,0.427,112.175
22,Es Épico,Muerte,2kd0T6zgABT8P0s2h9QU5O,Canserbero,361978,71,0.665,0.816,0,-6.753,1,0.266,0.448,0.0,0.297,0.745,93.37
23,Cuándo Olvidaré,El Madrileño,4NdjM90OrP4wuHsecOMXlg,C. Tangana,189560,57,0.726,0.323,5,-9.322,0,0.185,0.818,1.03e-06,0.0999,0.461,95.803
24,Fyah Fyah,Chachichacho,4ptx37L95KsPwAbhpw8DN5,Bejo,181747,0,0.799,0.808,11,-5.438,0,0.251,0.0877,0.0,0.0986,0.703,103.186
25,Mi Casa,Pa'l Coche,3sdbjDa8Rvmfn8k7pz7znc,Cruz Cafuné,166113,53,0.888,0.563,1,-7.432,1,0.142,0.138,8.13e-06,0.116,0.444,99.481
26,Rockadown Subway Session,Rockadown Subway Session,3bdhZxL276JwNlNsQgu51s,Vanupié,214041,0,0.65,0.648,6,-6.694,0,0.339,0.525,0.0,0.683,0.792,140.607
27,Me Maten - Live at NPR's Tiny Desk,El Madrileño (Live at NPR's Tiny Desk),5py3FJrHEuR67BjR7wm8uj,C. Tangana,242496,63,0.614,0.583,7,-10.012,1,0.523,0.526,0.0,0.718,0.794,79.04
28,Cypher #2 (Reggae Cypher),Cypher #2 (Reggae Cypher),6DxQg3crCwvNYQsZw1bjsd,Pure Negga,337231,9,0.814,0.763,11,-1.817,0,0.262,0.24,0.0,0.321,0.79,90.035
29,Segundo movimiento: Mierda de filosofía,Mayéutica,63Zg2q0NxOIoVu7olYHl9t,Robe,286397,49,0.489,0.708,11,-12.788,0,0.107,0.0128,2.84e-05,0.469,0.31,122.016
30,Redemption Song,Uprising,26PwuMotZqcczKLHi4Htz3,Bob Marley & The Wailers,233560,69,0.671,0.256,7,-10.743,1,0.0387,0.608,0.0,0.0737,0.694,115.871
31,Demasiadas Mujeres,El Madrileño,3GaGWoU1KfVqgl7vnRHP55,C. Tangana,153960,79,0.658,0.453,9,-7.378,0,0.39,0.131,0.0002,0.0848,0.358,126.043
32,Rara Bien,Directo en Sdma,4lSs7nqYqxXjWiiNehh3Ji,Rupatrupa,336306,55,0.489,0.464,9,-7.537,0,0.0512,0.381,0.0,0.122,0.56,118.286
33,Trappin,Trappin,2BgrVmdbY3gfSCNRsWPEKl,Yung Sarria,143823,39,0.863,0.479,1,-9.769,0,0.137,0.0102,0.000127,0.125,0.546,135.999
34,Breezeblocks,An Awesome Wave,3Wu6MhnZuLuzfH5wFC2g9i,alt-J,227080,11,0.611,0.643,5,-7.372,1,0.037,0.117,0.00101,0.131,0.258,74.991
35,Nunca Estoy,El Madrileño,6N4ioa3XSbvjmwdVEERl8F,C. Tangana,162493,67,0.913,0.369,2,-5.299,1,0.12,0.476,0.00609,0.309,0.436,135.019
36,El Carro de la Vida - Versión Acústica,El Carro de la Vida,2rbKYumh9CLEcXhv1IVzg3,Sinkope,287873,0,0.441,0.815,2,-8.467,1,0.114,0.0496,1.01e-05,0.0854,0.328,154.995
37,Pan duro (feat. Fito y Fitipaldis),Fitografía,76ruU3fgd1IuX98ugW9PMZ,Marea,222426,44,0.475,0.561,4,-9.24,0,0.0305,0.545,0.000179,0.104,0.627,145.465
38,Mon Amour - Remix,Mon Amour (Remix),5TMLavqGRKNxgzMBrVpC9R,zzoilo,179940,83,0.748,0.761,2,-6.621,1,0.102,0.122,6.56e-06,0.0984,0.362,116.041
39,Párteme La Cara,El Madrileño,5gEUDNQvoQjdjklrwPdGwD,C. Tangana,167866,70,0.761,0.296,0,-10.22,1,0.0484,0.551,0.000492,0.134,0.579,127.938
40,Sunday Best,Where the Light Is,1Cv1YLb4q0RzL6pybtaMLo,Surfaces,158571,75,0.878,0.525,5,-6.832,1,0.0578,0.183,0.0,0.0714,0.694,112.022
41,No Hay Manera,No Hay Manera,5Qn3vK8wlpxGTIrCUKVzE2,ToteKing,291506,41,0.594,0.88,3,-3.56,0,0.173,0.157,0.0,0.158,0.738,92.035
42,Coraçon,Rockallano,4hr7mgbCDRQ7x1Bvw5AawC,Astola,234795,17,0.523,0.271,0,-9.992,1,0.0476,0.867,1.12e-06,0.117,0.688,159.871
43,Finisterre,Finisterre,4G7nC3kXEW7TLUG2Fiv527,Vetusta Morla,195599,50,0.673,0.833,0,-6.875,0,0.0961,0.157,0.0,0.101,0.38,127.63
44,Renacimiento,Kase.O Jazz Magnetism,5MFqzWaYBe7Es4CHk66Iy3,Kase.O,260786,53,0.773,0.536,1,-9.654,1,0.0692,0.163,0.0,0.218,0.744,98.034
45,No puedo vivir sin ti (feat. Anni B Sweet),Mujeres,0Xfv1QCPBEPdmSbxsuaX6a,Coque Malla,215969,56,0.549,0.257,3,-14.91,1,0.0768,0.742,1.71e-06,0.0944,0.197,120.7
